op_nr,time
742,95.47
743,136.27
744,85.39
745,89.27
746,155.80
747,365.58
748,353.25
749,391.83
750,164.31
751,130.77
752,183.85
753,135.73
754,280.78
755,169.56
756,134.89
757,145.68
758,133.57
759,122.72
760,118.53
761,115.88
762,118.55
763,92.60
764,264.01
765,273.27
766,284.93
767,191.93
768,200.45
769,404.87
770,340.32
771,153.17
772,245.41
773,171.60
774,134.53
775,118.95
776,118.35
777,117.59
778,94.62
779,126.59
780,97.58
781,100.72
782,103.35
783,124.27
784,118.81
785,154.61
786,150.67
787,142.96
788,199.50
789,157.14
790,158.03
791,159.18
792,147.69
793,195.17
794,170.42
795,193.02
796,143.75
797,125.51
798,99.11
799,125.08
800,112.67
801,123.65
802,118.64
803,123.61
804,106.91
805,140.16
806,170.83
807,181.54
808,137.74
809,171.13
810,210.23
811,203.21
812,175.95
813,147.34
814,168.73
815,236.38
816,135.16
817,118.27
818,133.86
819,102.40
820,130.96
821,132.67
822,129.15
823,125.54
824,130.14
825,134.06
826,141.95
827,167.26
828,113.43
829,174.53
830,145.79
831,177.73
832,183.65
833,166.53
834,192.85
835,204.04
836,229.73
837,141.16
838,203.83
839,150.38
840,141.08
841,144.93
842,111.63
843,139.87
844,133.11
845,110.93
846,128.32
847,115.37
848,162.83
849,157.37
850,134.81
851,138.39
852,128.44
853,172.36
854,179.87
855,199.23
856,170.57
857,158.80
858,205.26
859,267.66
860,156.37
861,117.72
862,124.30
863,121.76
864,118.77
865,125.67
866,110.37
867,104.27
868,139.29
869,123.97
870,117.10
871,139.65
872,170.00
873,145.78
874,129.79
875,140.69
876,126.28
877,181.44
878,195.11
879,176.04
880,198.70
881,226.18
882,162.72
883,150.45
884,129.37
885,116.68
886,114.96
887,110.61
888,121.54
889,134.41
890,128.47
891,114.55
892,127.03
893,136.59
894,143.36
895,143.99
896,157.33
897,154.09
898,127.34
899,125.23
900,123.38
901,150.95
902,196.60
903,186.40
904,201.79
905,215.69
906,192.64
907,264.46
908,218.29
909,199.85
910,196.21
911,198.74
912,192.41
913,194.02
914,206.07
915,199.86
916,150.73
917,127.94
918,253.97
919,164.73
920,187.14
921,175.13
922,158.59
923,197.46
924,208.38
925,160.28
926,194.38
927,167.42
928,180.27
929,196.91
930,149.55
931,154.23
932,131.05
933,125.24
934,124.09
935,185.36
936,193.30
937,179.09
938,191.41
939,220.55
940,180.86
941,177.41
942,176.68
943,173.09
944,159.79
945,192.68
946,214.31
947,187.60
948,172.65
949,210.26
950,179.47
951,201.04
952,179.55
953,144.42
954,141.63
955,138.56
956,158.20
957,185.60
958,191.64
959,225.81
960,261.78
961,172.51
962,154.26
963,146.34
964,185.38
965,172.04
966,188.07
967,218.28
968,212.84
969,206.47
970,229.07
971,159.39
972,154.42
973,168.03
974,137.92
975,170.23
976,164.17
977,169.50
978,217.53
979,201.81
980,224.55
981,173.56
982,168.96
983,144.77
984,186.94
985,144.19
986,188.19
987,185.22
988,194.78
989,198.80
990,198.82
991,258.01
992,247.03
993,285.84
994,200.89
995,167.18
996,218.84
997,232.95
998,216.22
999,200.14
1000,186.10
1001,177.41
1002,155.30
1003,135.31
1004,141.20
1005,136.18
1006,175.09
1007,162.88
1008,146.77
1009,147.25
1010,157.82
1011,180.41
1012,177.78
1013,173.94
1014,174.83
1015,175.48
1016,150.35
1017,194.30
1018,218.48
1019,196.72
1020,171.66
1021,172.04
1022,176.67
1023,154.65
1024,189.46
1025,178.86
1026,205.19
1027,169.09
1028,196.66
1029,188.86
1030,169.07
1031,190.99
1032,156.56
1033,183.91
1034,155.59
1035,178.45
1036,175.47
1037,180.58
1038,159.58
1039,151.92
1040,237.00
1041,193.89
1042,191.93
1043,187.09
1044,198.56
1045,185.96
1046,170.33
1047,161.69
1048,197.40
1049,187.23
1050,153.62
1051,257.50
1052,213.18
1053,217.30
1054,178.59
1055,308.07
1056,185.48
1057,163.45
1058,170.02
1059,199.40
1060,223.17
1061,178.52
1062,189.24
1063,207.21
1064,190.97
1065,165.39
1066,214.40
1067,207.72
1068,212.06
1069,225.27
1070,167.50
1071,189.37
1072,177.41
1073,176.80
1074,191.70
1075,201.29
1076,188.98
1077,166.09
1078,215.06
1079,225.04
1080,204.52
1081,171.52
1082,199.78
1083,194.48
1084,195.32
1085,178.12
1086,182.30
1087,193.99
1088,202.08
1089,197.54
1090,199.08
1091,221.63
1092,189.75
1093,195.25
1094,201.62
1095,198.72
1096,200.70
1097,194.80
1098,199.40
1099,198.03
1100,203.34
1101,203.68
1102,200.29
1103,202.21
1104,204.10
1105,173.19
1106,242.21
1107,174.50
1108,198.37
1109,205.31
1110,208.05
1111,184.67
1112,200.40
1113,174.48
1114,170.99
1115,202.09
1116,211.36
1117,188.55
1118,185.59
1119,213.41
1120,203.68
1121,185.33
1122,202.96
1123,202.41
1124,188.71
1125,202.87
1126,202.63
1127,177.86
1128,198.08
1129,195.25
1130,179.47
1131,198.68
1132,175.33
1133,211.26
1134,205.82
1135,193.66
1136,224.11
1137,191.66
1138,225.36
1139,207.44
1140,198.47
1141,229.28
1142,185.09
1143,230.14
1144,189.11
1145,185.42
1146,217.89
1147,272.09
1148,235.51
1149,303.32
1150,359.75
1151,220.14
1152,224.48
1153,189.11
1154,211.03
1155,212.21
1156,189.77
1157,214.02
1158,190.82
1159,188.31
1160,243.88
1161,194.85
1162,345.01
1163,242.66
1164,227.84
1165,242.28
1166,201.56
1167,217.21
1168,197.98
1169,196.81
1170,216.28
1171,215.89
1172,189.26
1173,213.58
1174,216.19
1175,213.85
1176,224.98
1177,201.71
1178,266.64
1179,218.34
1180,216.12
1181,228.37
1182,214.85
1183,221.38
1184,220.16
1185,225.40
1186,225.80
1187,205.42
1188,231.01
1189,220.54
1190,220.35
1191,195.89
1192,200.39
1193,259.66
1194,237.32
1195,205.21
1196,226.32
1197,211.80
1198,225.31
1199,226.55
1200,217.05
1201,186.10
1202,209.58
1203,184.67
1204,208.32
1205,210.60
1206,210.93
1207,219.07
1208,195.54
1209,210.70
1210,211.91
1211,216.72
1212,221.40
1213,189.33
1214,222.02
1215,215.51
1216,229.00
1217,212.06
1218,224.37
1219,227.01
1220,215.07
1221,232.57
1222,227.93
1223,228.32
1224,229.18
1225,203.58
1226,198.38
1227,231.89
1228,234.31
1229,234.33
1230,203.23
1231,244.65
1232,205.63
1233,233.87
1234,235.88
1235,257.11
1236,247.36
1237,216.78
1238,214.54
1239,206.33
1240,256.01
1241,211.07
1242,209.96
1243,203.33
1244,264.99
1245,222.42
1246,265.64
1247,225.48
1248,259.32
1249,206.71
1250,193.35
1251,248.21
1252,238.14
1253,222.76
1254,227.39
1255,226.18
1256,228.07
1257,241.16
1258,228.83
1259,222.91
1260,235.12
1261,209.15
1262,227.19
1263,227.63
1264,224.64
1265,223.05
1266,212.33
1267,238.01
1268,261.22
1269,250.30
1270,224.85
1271,240.82
1272,242.58
1273,253.90
1274,217.83
1275,240.26
1276,271.45
1277,247.03
1278,224.91
1279,241.80
1280,218.62
1281,240.33
1282,242.62
1283,222.67
1284,258.40
1285,218.39
1286,216.48
1287,247.71
1288,217.04
1289,230.85
1290,246.59
1291,279.60
1292,246.65
1293,247.75
1294,221.02
1295,251.83
1296,247.12
1297,246.35
1298,252.10
1299,233.57
1300,219.51
1301,246.72
1302,247.29
1303,244.72
1304,266.58
1305,232.89
1306,219.81
1307,218.94
1308,237.39
1309,249.31
1310,256.19
1311,250.29
1312,231.22
1313,252.42
1314,228.43
1315,249.86
1316,296.68
1317,254.87
1318,252.04
1319,229.75
1320,227.76
1321,220.07
1322,251.94
1323,254.84
1324,225.81
1325,256.36
1326,254.10
1327,254.25
1328,239.52
1329,260.02
1330,254.75
1331,256.46
1332,292.93
1333,271.53
1334,259.06
1335,279.04
1336,257.91
1337,232.37
1338,254.94
1339,237.53
1340,262.07
1341,257.46
1342,264.64
1343,238.97
1344,229.86
1345,256.84
1346,281.62
1347,239.14
1348,258.19
1349,260.87
1350,245.03
1351,266.20
1352,236.73
1353,228.48
1354,262.16
1355,235.36
1356,252.89
1357,232.91
1358,230.23
1359,263.02
1360,271.36
1361,264.36
1362,279.72
1363,263.86
1364,282.57
1365,264.01
1366,271.19
1367,270.39
1368,272.32
1369,267.63
1370,267.06
1371,266.15
1372,266.91
1373,250.57
1374,273.21
1375,271.97
1376,264.94
1377,241.07
1378,237.82
1379,289.75
1380,288.58
1381,276.44
1382,277.27
1383,276.43
1384,271.42
1385,255.35
1386,242.91
1387,268.21
1388,297.82
1389,274.32
1390,270.33
1391,270.75
1392,245.19
1393,242.50
1394,302.23
1395,306.02
1396,263.88
1397,283.44
1398,276.50
1399,249.74
1400,267.53
1401,257.25
1402,244.87
1403,245.81
1404,316.51
1405,260.68
1406,281.49
1407,277.93
1408,275.14
1409,281.78
1410,279.97
1411,274.97
1412,274.56
1413,280.61
1414,278.32
1415,276.33
1416,260.68
1417,252.93
1418,290.86
1419,260.91
1420,245.64
1421,278.63
1422,278.56
1423,252.65
1424,282.19
1425,263.05
1426,250.30
1427,283.49
1428,279.46
1429,278.42
1430,284.68
1431,258.81
1432,293.47
1433,255.88
1434,250.78
1435,386.36
1436,295.34
1437,262.47
1438,299.35
1439,284.46
1440,261.72
1441,264.70
1442,282.45
1443,256.62
1444,294.39
1445,286.01
1446,283.56
1447,282.78
1448,267.16
1449,288.92
1450,257.33
1451,294.53
1452,302.29
1453,283.28
1454,283.99
1455,285.19
1456,283.97
1457,258.05
1458,272.23
1459,259.82
1460,309.58
1461,273.27
1462,292.45
1463,267.53
1464,270.96
1465,286.34
1466,302.61
1467,288.29
1468,262.08
1469,288.11
1470,279.36
1471,288.69
1472,302.96
1473,294.45
1474,290.61
1475,288.30
1476,299.11
1477,290.38
1478,292.59
1479,290.31
1480,294.39
1481,263.34
1482,304.11
1483,292.38
1484,273.70
1485,292.11
1486,291.91
1487,271.45
1488,263.58
1489,287.69
1490,276.82
1491,291.80
1492,267.63
1493,281.62
1494,296.41
1495,301.26
1496,270.87
1497,291.52
1498,293.06
1499,293.85
1500,313.67
1501,282.39
1502,281.46
1503,265.14
1504,292.43
1505,267.86
1506,263.38
1507,320.78
1508,305.51
1509,310.82
1510,305.20
1511,275.39
1512,282.29
1513,308.11
1514,275.94
1515,309.60
1516,296.02
1517,297.85
1518,299.24
1519,298.70
1520,283.22
1521,298.98
1522,303.14
1523,282.23
1524,309.82
1525,275.38
1526,375.80
1527,294.52
1528,316.52
1529,306.53
1530,276.98
1531,270.66
1532,302.03
1533,290.77
1534,277.32
1535,327.98
1536,305.22
1537,306.19
1538,302.04
1539,284.05
1540,301.22
1541,302.82
1542,318.93
1543,305.44
1544,278.50
1545,313.73
1546,318.99
1547,289.21
1548,291.47
1549,343.72
1550,285.14
1551,336.09
1552,323.54
1553,310.80
1554,319.61
1555,310.48
1556,292.03
1557,308.99
1558,291.50
1559,326.50
1560,294.26
1561,291.27
1562,292.17
1563,308.60
1564,285.62
1565,309.36
1566,311.69
1567,310.34
1568,295.07
1569,314.05
1570,296.35
1571,312.33
1572,293.98
1573,315.07
1574,313.67
1575,337.62
1576,288.88
1577,312.63
1578,319.03
1579,302.66
1580,324.49
1581,292.86
1582,334.07
1583,302.41
1584,288.74
1585,311.31
1586,289.30
1587,327.93
1588,301.33
1589,316.25
1590,326.04
1591,316.94
1592,291.70
1593,353.90
1594,299.21
1595,300.11
1596,286.76
1597,290.15
1598,299.86
1599,316.88
1600,327.89
1601,303.41
1602,326.30
1603,318.74
1604,321.84
1605,317.48
1606,319.15
1607,318.67
1608,317.48
1609,340.99
1610,320.04
1611,297.80
1612,330.49
1613,324.37
1614,321.20
1615,320.48
1616,326.77
1617,293.95
1618,325.77
1619,320.32
1620,296.77
1621,401.75
1622,334.75
1623,330.28
1624,324.27
1625,342.47
1626,322.21
1627,323.04
1628,333.74
1629,301.25
1630,333.28
1631,326.07
1632,337.90
1633,306.61
1634,293.88
1635,290.28
1636,294.20
1637,295.17
1638,352.50
1639,339.90
1640,303.69
1641,308.42
1642,332.56
1643,325.36
1644,352.82
1645,300.59
1646,411.86
1647,333.67
1648,303.87
1649,419.84
1650,312.56
1651,299.45
1652,378.20
1653,308.94
1654,313.26
1655,328.86
1656,314.17
1657,344.72
1658,357.24
1659,317.10
1660,306.53
1661,299.82
1662,407.42
1663,338.89
1664,305.49
1665,307.24
1666,319.79
1667,300.27
1668,312.57
1669,329.70
1670,333.77
1671,340.01
1672,336.91
1673,332.27
1674,331.62
1675,336.40
1676,308.02
1677,299.64
1678,343.41
1679,307.48
1680,307.13
1681,409.88
1682,350.40
1683,321.23
1684,369.36
1685,312.33
1686,349.87
1687,353.54
1688,362.33
1689,344.72
1690,338.61
1691,346.03
1692,314.54
1693,317.60
1694,339.27
1695,314.87
1696,336.58
1697,347.84
1698,335.92
1699,311.13
1700,344.51
1701,338.88
1702,336.78
1703,326.62
1704,341.64
1705,328.96
1706,319.61
1707,311.63
1708,311.35
1709,349.79
1710,348.55
1711,338.68
1712,323.98
1713,332.23
1714,311.81
1715,353.22
1716,316.97
1717,317.77
1718,363.18
1719,354.57
1720,316.90
1721,335.91
1722,347.20
1723,327.45
1724,310.65
1725,309.12
1726,347.34
1727,337.85
1728,347.08
1729,345.27
1730,316.94
1731,324.17
1732,324.50
1733,313.96
1734,346.95
1735,343.58
1736,348.83
1737,327.87
1738,314.38
1739,312.24
1740,336.53
1741,374.83
1742,329.03
1743,349.23
1744,345.14
1745,330.47
1746,346.12
1747,344.90
1748,338.41
1749,322.92
1750,440.32
1751,339.12
1752,343.99
1753,346.48
1754,322.67
1755,425.11
1756,329.66
1757,362.82
1758,354.20
1759,348.57
1760,348.28
1761,354.65
1762,332.63
1763,347.99
1764,367.72
1765,338.97
1766,350.90
1767,324.53
1768,348.16
1769,392.43
1770,337.95
1771,378.77
1772,358.93
1773,336.23
1774,352.12
1775,372.31
1776,326.83
1777,335.68
1778,326.18
1779,360.67
1780,330.79
1781,439.79
1782,384.23
1783,353.67
1784,362.64
1785,354.78
1786,327.97
1787,336.90
1788,354.73
1789,356.38
1790,337.55
1791,361.60
1792,347.22
1793,336.91
1794,327.14
1795,363.11
1796,375.00
1797,356.02
1798,360.09
1799,346.56
1800,357.13
1801,357.37
1802,333.32
1803,351.79
1804,331.45
1805,364.59
1806,368.01
1807,362.33
1808,360.10
1809,329.86
1810,331.13
1811,329.44
1812,341.12
1813,310.11
1814,335.71
1815,350.12
1816,306.74
1817,358.75
1818,321.91
1819,327.20
1820,351.48
1821,309.83
1822,334.33
1823,338.58
1824,325.22
1825,307.66
1826,421.54
1827,322.50
1828,306.17
1829,369.08
1830,338.17
1831,331.61
1832,334.95
1833,328.50
1834,344.44
1835,338.03
1836,331.14
1837,348.35
1838,325.71
1839,306.82
1840,305.46
1841,338.63
1842,396.24
1843,346.06
1844,339.30
1845,308.92
1846,305.87
1847,351.65
1848,343.90
1849,322.23
1850,335.58
1851,336.77
1852,333.64
1853,337.53
1854,342.72
1855,316.36
1856,314.04
1857,309.30
1858,351.99
1859,315.36
1860,344.21
1861,342.46
1862,327.66
1863,339.37
1864,346.05
1865,329.71
1866,344.39
1867,343.31
1868,313.80
1869,327.45
1870,357.88
1871,345.76
1872,389.87
1873,355.50
1874,361.84
1875,355.57
1876,361.10
1877,354.67
1878,354.57
1879,341.14
1880,467.02
1881,404.36
1882,376.57
1883,363.45
1884,355.84
1885,373.40
1886,375.09
1887,373.07
1888,387.80
1889,375.30
1890,370.47
1891,347.45
1892,356.76
1893,356.74
1894,375.58
1895,359.22
1896,380.44
1897,354.91
1898,349.11
1899,455.40
1900,383.25
1901,360.65
1902,364.87
1903,377.22
1904,389.28
1905,378.41
1906,379.43
1907,368.79
1908,361.68
1909,377.46
1910,403.36
1911,399.04
1912,379.51
1913,390.74
1914,354.78
1915,379.02
1916,379.18
1917,384.60
1918,384.39
1919,351.90
1920,391.61
1921,380.74
1922,365.44
1923,351.33
1924,355.25
1925,408.77
1926,366.28
1927,351.08
1928,351.08
1929,350.27
1930,462.56
1931,387.57
1932,392.05
1933,357.72
1934,401.86
1935,416.70
1936,372.49
1937,365.37
1938,369.29
1939,404.36
1940,384.82
1941,383.79
1942,381.33
1943,388.99
1944,404.22
1945,360.99
1946,366.33
1947,369.03
1948,355.76
1949,389.56
1950,390.05
1951,365.97
1952,392.86
1953,366.62
1954,385.84
1955,402.02
1956,362.47
1957,405.58
1958,367.34
1959,374.90
1960,392.54
1961,374.37
1962,409.74
1963,365.53
1964,418.61
1965,361.45
1966,370.25
1967,364.49
1968,476.31
1969,393.49
1970,389.35
1971,388.20
1972,378.16
1973,362.46
1974,377.96
1975,390.08
1976,383.98
1977,341.72
1978,373.22
1979,374.56
1980,366.00
1981,379.13
1982,398.35
1983,358.18
1984,367.20
1985,404.99
1986,412.64
1987,362.60
1988,374.42
1989,363.45
1990,384.09
1991,473.25
1992,409.96
1993,356.38
1994,362.31
1995,352.34
1996,345.02
1997,368.21
1998,395.77
1999,378.10
2000,418.20
2001,367.75
2002,352.20
2003,379.72
2004,370.27
2005,362.82
2006,378.62
2007,398.72
2008,396.87
2009,396.97
2010,383.07
2011,390.20
2012,420.12
2013,428.89
2014,403.41
2015,399.41
2016,398.71
2017,401.20
2018,401.61
2019,383.88
2020,381.84
2021,398.81
2022,405.01
2023,406.19
2024,401.49
2025,375.16
2026,403.07
2027,393.55
2028,382.14
2029,383.35
2030,423.64
2031,402.29
2032,403.63
2033,405.63
2034,488.96
2035,404.68
2036,405.57
2037,409.55
2038,426.60
2039,380.07
2040,430.57
2041,447.07
2042,452.94
2043,408.39
2044,388.19
2045,388.39
2046,389.30
2047,348.04
2048,388.50
2049,410.01
2050,392.27
2051,379.44
2052,406.82
2053,407.13
2054,410.06
2055,406.65
2056,412.13
2057,405.31
2058,412.11
2059,431.52
2060,387.14
2061,380.09
2062,412.50
2063,412.24
2064,415.12
2065,415.18
2066,398.18
2067,391.53
2068,414.34
2069,400.73
2070,380.35
2071,491.37
2072,393.39
2073,428.38
2074,413.34
2075,417.97
2076,433.12
2077,393.53
2078,423.99
2079,411.68
2080,421.16
2081,425.53
2082,404.10
2083,384.40
2084,382.44
2085,434.68
2086,421.88
2087,414.21
2088,390.09
2089,476.02
2090,422.94
2091,415.49
2092,414.30
2093,421.66
2094,429.67
2095,415.16
2096,416.68
2097,414.25
2098,400.29
2099,416.45
2100,399.36
2101,417.88
2102,417.24
2103,434.19
2104,426.98
2105,400.35
2106,398.27
2107,501.74
2108,402.81
2109,420.01
2110,417.46
2111,418.86
2112,401.68
2113,429.15
2114,425.85
2115,420.58
2116,420.33
2117,390.60
2118,401.69
2119,404.68
2120,402.12
2121,429.57
2122,441.85
2123,388.30
2124,410.00
2125,394.45
2126,403.56
2127,405.95
2128,425.53
2129,432.19
2130,397.34
2131,403.92
2132,432.10
2133,412.43
2134,421.07
2135,411.53
2136,422.46
2137,412.38
2138,423.98
