op_nr,time
1174,452.18
1175,394.28
1176,384.27
1177,363.70
1178,370.37
1179,400.18
1180,411.78
1181,360.12
1182,377.13
1183,386.09
1184,364.97
1185,465.95
1186,402.94
1187,400.46
1188,395.85
1189,370.42
1190,359.85
1191,457.94
1192,383.77
1193,407.46
1194,419.97
1195,369.60
1196,370.15
1197,462.43
1198,414.58
1199,372.24
1200,399.79
1201,416.57
1202,367.23
1203,419.06
1204,384.05
1205,398.73
1206,370.08
1207,363.66
1208,379.11
1209,409.02
1210,393.42
1211,373.41
1212,415.77
1213,402.73
1214,386.24
1215,391.98
1216,420.40
1217,400.88
1218,403.16
1219,385.84
1220,370.72
1221,367.68
1222,372.37
1223,475.86
1224,419.82
1225,412.17
1226,416.28
1227,411.91
1228,410.37
1229,438.06
1230,381.96
1231,375.12
1232,475.81
1233,441.17
1234,392.76
1235,413.50
1236,413.64
1237,407.57
1238,415.27
1239,412.86
1240,427.68
1241,419.69
1242,388.40
1243,412.09
1244,398.62
1245,414.75
1246,396.51
1247,413.73
1248,421.17
1249,439.63
1250,389.51
1251,521.86
1252,402.45
1253,464.30
1254,422.95
1255,442.22
1256,420.84
1257,404.00
1258,421.21
1259,412.23
1260,474.94
1261,439.89
1262,433.39
1263,424.40
1264,428.28
1265,412.39
1266,404.53
1267,434.12
1268,422.94
1269,425.40
1270,426.83
1271,434.78
1272,426.20
1273,408.08
1274,423.25
1275,427.33
1276,401.52
1277,503.21
1278,443.30
1279,433.99
1280,431.24
1281,429.97
1282,405.56
1283,530.96
1284,427.00
1285,411.61
1286,457.55
1287,441.19
1288,434.71
1289,427.56
1290,422.85
1291,446.65
1292,434.16
1293,436.17
1294,410.68
1295,537.55
1296,422.65
1297,466.78
1298,469.56
1299,421.21
1300,439.51
1301,440.76
1302,440.59
1303,439.33
1304,441.47
1305,460.40
1306,455.07
1307,447.70
1308,443.78
1309,443.05
1310,426.05
1311,415.99
1312,444.53
1313,447.32
1314,422.97
1315,425.86
1316,464.56
1317,456.03
1318,458.77
1319,481.62
1320,434.14
1321,422.42
1322,438.78
1323,453.25
1324,453.17
1325,457.41
1326,452.16
1327,485.40
1328,454.27
1329,460.21
1330,426.23
1331,421.58
1332,515.03
1333,443.69
1334,510.08
1335,470.83
1336,430.32
1337,480.74
1338,442.78
1339,532.70
1340,486.68
1341,470.15
1342,445.79
1343,441.54
1344,436.34
1345,414.19
1346,512.21
1347,522.83
1348,510.77
1349,488.71
1350,484.71
1351,486.64
1352,486.70
1353,509.47
1354,480.85
1355,500.84
1356,466.31
1357,453.29
1358,440.76
1359,452.10
1360,472.13
1361,457.49
1362,456.33
1363,504.87
1364,469.74
1365,475.56
1366,383.12
1367,371.78
1368,370.94
1369,378.51
1370,388.96
1371,373.67
1372,374.61
1373,403.37
1374,390.99
1375,419.77
1376,454.62
1377,446.51
1378,441.73
1379,421.80
1380,405.59
1381,418.14
1382,424.01
1383,418.43
1384,407.52
1385,396.12
1386,414.83
1387,453.10
1388,476.98
1389,518.31
1390,509.00
1391,406.78
1392,473.44
1393,473.59
1394,443.04
1395,381.22
1396,392.36
1397,384.30
1398,466.61
1399,413.39
1400,475.43
1401,453.79
1402,465.80
1403,475.36
1404,462.35
1405,457.45
1406,470.00
1407,452.86
1408,455.98
1409,466.73
1410,460.02
1411,493.32
1412,467.35
1413,446.16
1414,440.13
1415,448.26
1416,462.82
1417,452.87
1418,460.65
1419,472.25
1420,429.10
1421,430.87
1422,443.84
1423,438.24
1424,428.89
1425,427.40
1426,432.25
1427,440.19
1428,413.71
1429,405.34
1430,413.58
1431,420.25
1432,434.50
1433,418.45
1434,425.00
1435,422.71
1436,457.00
1437,409.36
1438,383.89
1439,380.87
1440,369.72
1441,370.75
1442,369.87
1443,378.84
1444,381.50
1445,430.48
1446,392.09
1447,397.70
1448,410.08
1449,354.72
1450,475.51
1451,355.85
1452,344.34
1453,319.12
1454,418.85
1455,355.75
1456,366.47
1457,374.35
1458,359.37
1459,382.06
1460,388.47
1461,384.42
1462,473.07
1463,508.46
1464,373.41
1465,330.18
1466,337.94
1467,389.81
1468,360.26
1469,372.26
1470,374.22
1471,380.08
1472,377.80
1473,334.75
1474,380.26
1475,395.80
1476,393.30
1477,370.60
1478,395.78
1479,546.97
1480,444.02
1481,424.29
1482,377.05
1483,394.76
1484,406.61
1485,390.61
1486,386.73
1487,372.51
1488,373.81
1489,372.62
1490,406.76
1491,385.16
1492,415.27
1493,403.37
1494,368.30
1495,348.51
1496,370.41
1497,373.76
1498,407.32
1499,377.48
1500,348.68
1501,328.44
1502,335.73
1503,313.92
1504,324.04
1505,359.56
1506,355.58
1507,355.46
1508,342.13
1509,439.26
1510,449.50
1511,417.10
1512,387.69
1513,370.09
1514,345.25
1515,351.94
1516,346.70
1517,334.86
1518,338.52
1519,327.80
1520,354.42
1521,382.90
1522,336.05
1523,340.65
1524,345.91
1525,349.51
1526,344.88
1527,328.19
1528,320.88
1529,331.20
1530,343.89
1531,345.49
1532,359.47
1533,344.83
1534,344.90
1535,327.88
1536,307.97
1537,313.40
1538,318.66
1539,299.41
1540,315.98
1541,310.17
1542,298.91
1543,312.65
1544,313.62
1545,301.59
1546,295.79
1547,309.56
1548,297.71
1549,301.55
1550,301.25
1551,296.56
1552,306.52
1553,306.84
1554,305.94
1555,312.51
1556,307.36
1557,309.19
1558,307.91
1559,294.04
1560,289.75
1561,284.61
1562,286.46
1563,301.96
1564,305.41
1565,298.71
1566,302.49
1567,288.69
1568,299.23
1569,302.27
1570,287.92
1571,295.27
1572,295.49
1573,298.11
1574,301.08
1575,284.75
1576,282.63
1577,305.33
1578,284.19
1579,310.31
1580,421.26
1581,311.01
1582,298.60
1583,350.41
1584,353.65
1585,326.34
1586,316.70
1587,327.76
1588,339.64
1589,329.76
1590,316.28
1591,323.46
1592,341.29
1593,329.49
1594,336.81
1595,341.34
1596,319.09
1597,323.77
1598,332.36
1599,311.37
1600,326.73
1601,332.08
1602,313.16
1603,320.00
1604,322.82
1605,330.04
1606,329.30
1607,294.94
1608,307.70
1609,478.71
1610,575.03
1611,558.82
1612,559.38
1613,569.27
1614,595.78
1615,612.34
1616,561.72
1617,612.99
1618,598.71
1619,630.65
1620,525.68
1621,558.84
1622,545.50
1623,560.95
1624,554.78
1625,545.20
1626,525.75
1627,556.42
1628,534.59
1629,474.26
1630,525.37
1631,564.82
1632,540.17
1633,515.73
1634,488.88
1635,505.03
1636,527.63
1637,476.47
1638,503.72
1639,504.23
1640,503.92
1641,505.52
1642,484.20
1643,508.61
1644,481.07
1645,502.54
1646,486.28
1647,470.76
1648,476.36
1649,466.59
1650,489.42
1651,463.46
1652,475.95
1653,480.24
1654,483.73
1655,432.82
1656,431.20
1657,429.94
1658,428.99
1659,458.98
1660,456.35
1661,445.72
1662,456.41
1663,459.53
1664,433.34
1665,377.88
1666,371.05
1667,381.43
1668,371.84
1669,363.39
1670,388.90
1671,359.79
1672,359.01
1673,379.53
1674,355.55
1675,371.90
1676,382.09
1677,377.70
1678,399.42
1679,416.68
1680,409.58
1681,410.62
1682,402.06
1683,422.86
1684,388.51
1685,412.45
1686,418.94
1687,379.28
1688,388.19
1689,379.28
1690,399.84
1691,600.45
1692,431.65
1693,380.27
1694,398.29
1695,401.78
1696,406.94
1697,434.53
1698,429.20
1699,408.61
1700,415.82
1701,389.99
1702,406.43
1703,408.57
1704,404.80
1705,434.73
1706,436.35
1707,439.73
1708,466.91
1709,432.48
1710,429.06
1711,437.00
1712,428.99
1713,409.78
1714,434.42
1715,421.57
1716,425.96
1717,451.17
1718,390.57
1719,407.71
1720,418.75
1721,391.27
1722,406.62
1723,605.42
1724,581.84
1725,538.56
1726,529.03
1727,625.53
1728,763.43
1729,703.50
1730,670.88
1731,678.01
1732,666.46
1733,640.74
1734,712.67
1735,716.06
1736,624.47
1737,708.75
1738,687.52
1739,728.19
1740,667.70
1741,588.16
1742,621.67
1743,672.19
1744,645.45
1745,634.47
1746,672.18
1747,614.94
1748,626.49
1749,616.24
1750,635.55
1751,659.62
1752,635.38
1753,642.69
1754,645.62
1755,627.05
1756,628.10
1757,622.72
1758,677.86
1759,645.85
1760,655.55
1761,654.81
1762,642.44
1763,629.40
1764,633.05
1765,608.09
1766,638.01
1767,657.39
1768,644.11
1769,649.31
1770,648.09
1771,643.56
1772,656.80
1773,690.74
1774,625.16
1775,669.74
1776,658.22
1777,646.79
1778,711.78
1779,626.43
1780,626.99
1781,628.72
1782,685.67
1783,638.04
1784,648.39
1785,660.77
1786,649.16
1787,675.81
1788,665.32
1789,670.26
1790,657.56
1791,749.84
1792,660.37
1793,638.65
1794,653.53
1795,567.78
1796,587.73
1797,601.51
1798,638.17
1799,614.39
1800,600.57
1801,649.35
1802,611.30
1803,598.25
1804,635.61
1805,567.20
1806,580.28
1807,610.13
1808,628.46
1809,600.64
1810,657.38
1811,573.68
1812,644.62
1813,608.63
1814,563.84
1815,607.28
1816,574.61
1817,579.37
1818,602.97
1819,570.98
1820,600.61
1821,609.76
1822,573.09
1823,612.83
1824,587.56
1825,582.17
1826,632.75
1827,589.72
1828,656.95
1829,601.21
1830,634.11
1831,590.65
1832,628.77
1833,592.75
1834,576.12
1835,654.97
1836,609.14
1837,611.86
1838,623.40
1839,652.44
1840,723.91
1841,681.33
1842,680.97
1843,674.81
1844,671.25
1845,692.79
1846,673.35
1847,655.47
1848,684.24
1849,689.61
1850,733.97
1851,652.28
1852,655.34
1853,678.36
1854,661.29
1855,692.84
1856,676.59
1857,653.42
1858,701.45
1859,659.02
1860,669.02
1861,673.28
1862,689.63
1863,677.80
1864,660.95
1865,711.39
1866,704.86
1867,651.29
1868,691.99
1869,683.82
1870,685.94
1871,712.66
1872,680.91
1873,757.95
1874,656.99
1875,703.47
1876,678.20
1877,709.63
1878,738.62
1879,725.33
1880,685.66
1881,673.72
1882,656.55
1883,702.92
1884,702.78
1885,709.40
1886,709.22
1887,702.31
1888,688.84
1889,691.55
1890,686.92
1891,681.77
1892,675.80
1893,680.14
1894,657.86
1895,679.86
1896,722.55
1897,714.78
1898,706.81
1899,690.15
1900,701.57
1901,664.76
1902,717.04
1903,692.94
1904,676.42
1905,748.20
1906,679.84
1907,726.03
1908,701.92
1909,698.66
