op_nr,time
1033,14528
1034,14397
1035,14357
1036,8222
1037,23030
1038,7178
1039,5157
1040,14853
1041,8488
1042,14401
1043,12345
1044,9692
1045,10609
1046,12575
1047,12731
1048,8011
1049,36889
1050,10248
1051,15676
1052,17948
1053,24288
1054,29109
1055,23185
1056,20687
1057,22327
1058,22599
1059,14573
1060,24750
1061,5894
1062,10625
1063,26666
1064,8322
1065,6882
1066,18088
1067,15024
1068,14532
1069,20034
1070,7274
1071,27925
1072,8127
1073,14703
1074,7163
1075,14387
1076,14411
1077,14376
1078,14336
1079,7128
1080,18445
1081,14371
1082,14402
1083,6822
1084,5171
1085,14321
1086,8312
1087,14407
1088,22533
1089,13920
1090,14332
1091,8076
1092,8297
1093,7745
1094,10760
1095,14386
1096,8096
1097,14522
1098,14608
1099,6983
1100,19584
1101,14286
1102,14397
1103,14497
1104,14447
1105,22779
1106,14597
1107,7956
1108,18525
1109,8151
1110,14722
1111,8337
1112,6707
1113,15756
1114,12581
1115,9681
1116,8292
1117,9586
1118,6019
1119,13910
1120,8232
1121,5879
1122,19924
1123,26381
1124,22393
1125,15736
1126,14542
1127,13363
1128,15344
1129,13524
1130,7795
1131,10449
1132,5719
1133,7931
1134,8678
1135,6401
1136,13303
1137,8081
1138,7870
1139,18003
1140,8172
1141,8176
1142,6110
1143,7850
1144,7940
1145,7931
1146,7846
1147,7861
1148,8738
1149,7931
1150,11292
1151,7886
1152,7945
1153,7830
1154,6180
1155,7860
1156,10358
1157,7885
1158,7820
1159,7845
1160,7881
1161,7931
1162,7776
1163,8086
1164,11472
1165,7966
1166,7800
1167,6310
1168,7976
1169,6350
1170,7885
1171,7815
1172,8092
1173,12274
1174,7936
1175,6310
1176,8242
1177,8192
1178,9612
1179,15917
1180,7033
1181,14226
1182,14477
1183,8051
1184,14367
1185,14998
1186,14918
1187,16780
1188,8969
1189,8276
1190,26240
1191,18897
1192,18565
1193,14502
1194,20386
1195,14306
1196,14658
1197,22277
1198,10891
1199,22839
1200,30720
1201,19187
1202,14477
1203,14276
1204,14878
1205,14758
1206,14622
1207,27905
1208,7153
1209,14381
1210,14271
1211,14512
1212,14573
1213,7078
1214,18750
1215,7364
1216,14297
1217,13228
1218,14126
1219,7991
1220,14381
1221,14708
1222,19894
1223,14211
1224,16624
1225,6927
1226,7785
1227,14226
1228,18370
1229,14552
1230,6762
1231,14336
1232,14417
1233,14306
1234,47052
1235,13639
1236,14352
1237,14136
1238,14176
1239,8021
1240,8327
1241,22758
1242,18154
1243,14688
1244,11868
1245,9817
1246,8588
1247,11643
1248,14953
1249,6686
1250,7825
1251,14352
1252,6777
1253,28553
1254,24328
1255,26376
1256,21675
1257,22578
1258,31297
1259,21435
1260,23381
1261,8322
1262,8006
1263,5864
1264,14461
1265,9466
1266,8553
1267,14201
1268,6988
1269,12581
1270,14702
1271,14482
1272,14261
1273,14372
1274,14301
1275,16578
1276,6968
1277,4946
1278,8513
1279,5909
1280,7996
1281,14301
1282,23185
1283,14196
1284,8071
1285,14046
1286,14287
1287,8097
1288,14337
1289,14301
1290,8191
1291,14462
1292,14738
1293,14176
1294,14261
1295,14336
1296,11121
1297,8563
1298,14171
1299,8227
1300,14341
1301,8312
1302,6526
1303,7896
1304,7911
1305,14332
1306,14311
1307,14362
1308,10534
1309,22769
1310,18435
1311,13503
1312,8071
1313,11382
1314,14386
1315,15976
1316,12039
1317,15174
1318,11819
1319,14843
1320,14437
1321,17898
1322,15294
1323,18560
1324,14683
1325,13810
1326,33032
1327,8959
1328,7966
1329,7911
1330,9777
1331,5402
1332,5307
1333,4881
1334,4846
1335,5668
1336,5824
1337,5272
1338,5774
1339,5101
1340,5332
1341,5087
1342,4786
1343,13649
1344,9667
1345,4795
1346,4976
